
SN,STATUS,ACCOUNT,Country,GROUP,PARENT COMPANY NAME,PARENT COMPNAY CODE,Plant Name,PLANT CODE,Site Name,X,SITE CODE,System SN,Model,
71,TF-PSA,THERMO,UAE,SHARJAH,Sharjah Cement Company,#REF!,Sharjah Cement Company,#REF!,Sharajh,#REF!,822153,OMNI
72,SL-PSA,SPECTRA,South Africa,Afrisam,Afrisam-South Africa,#REF!,Afrisam-South Africa,#REF!,Dudfield,#REF!,,CBA-GN
73,SL-PSA,SPECTRA,South Africa,Afrisam,Afrisam-South Africa,#REF!,Afrisam-South Africa,#REF!,Ulco,#REF!,,CBX


























SN,COMM CODE,COM./STAT,STATUS,ACCOUNT,Country,COUNTRY CODE-ISO,GROUP,PARENT COMPANY NAME,X,PARENT COMPNAY CODE,Plant Name,X,PLANT CODE,Site Name,X,SITE CODE,System SN,Model,System Type,Cf/Neg,Application,Belt Width(MM),Opcon-OS,Nautilus Version,OPCON Control Software,Site PLC Type,LD Stone Version,DSP Version,RPP Version,Sqr. Card Version,Remote OPCON,Spares   On-site,REMARKS,Year of I&C,Install & Start Date,Last visit,FSA,,PSA START,PSA END,YRS,VISITS,
#REF!,11,PSA,SL-PSA,SPECTRA,Congo,COG,Dangote,Dangote Cement-Congo,01,COG01,Dangote Cement-Congo,01,COG0101,Congo,01,COG010101, ,OMNI,OMNI,Cf-252,SP,,,,,,,,,,,,,,,,,,1.2.2022,31.1.2023,1,1,
#REF!,11,PSA,SL-PSA,SPECTRA,Ethiopia,ETH,Dangote,DANGOTE- CEMENT-ETHIOPEA,02,ETH02,DANGOTE CEMENT-ETHIOPEA,01,ETH0201,DC-ETHIOPIA 1,01,ETH020101,,OMNI,OMNI,Cf-252,SP,,,,Base Cement,,,,,,,,,2015/Q3,,,,,1.7.2023,30.6.2026,3,2,
#REF!,21,PSA,SL/TF-PSA,THERMO,Nigeria,NGA,Dangote,Dangote Cement-Nigeria,02,NGA02,Dangote-Nigeria-Okapella Cement Plant,04,NGA0204,Okapella,01,NGA020401,,OMNI,OMNI,Cf-252,SP,,,,,,,,,,,,,,,,,,1.5.2023,30.4.2027,3,2,
#REF!,10,PSA-X,SL-PSA,SPECTRA,Saudi,SUA,NRCC,Norther Region Cement (NRCC),6,SUA6,Norther Region Cement (NRCC),01,SUA601,NRCC-1,01,SUA60101,821100,CBX,CBX,Cf-252,SP,1400,,,Base Cement,,,,,,NO,YES,,2009/Q3,9/4/2009,,,,4/1/2022,3/31/2023,1,2,
#REF!,10,PSA-X,SL-PSA,SPECTRA,Saudi,SUA,NRCC,Norther Region Cement (NRCC),6,SUA6,Norther Region Cement (NRCC),01,SUA601,NRCC-2,02,SUA60102,822321,OMNI,OMNI,Cf-252,SP,,,,,,,,,,NO,YES,,Q2/2013,June,,,,4/1/2022,3/31/2023,1,2,
#REF!,11,PSA,SL-PSA,SPECTRA,Senegal,SEN,Dangote,DANGOTE CEMENT-SENEGAL,3,SEN3,DANGOTE CEMENT-SENEGAL,01,SEN301,DCP-SENEGAL,01,SEN30101,82285,OMNI,OMNI,Cf-252,SP,,,,,,,,,,,,,2015,,,,,1.2.2022,31.1.2025,3,2,
#REF!,10,PSA-X,SL-PSA-EXP,SPECTRA,UAE,ARE,FCI,Fujairah Cement Co,4,ARE4,Fujairah Cement Co,01,ARE401,FUJAIRAH,01,ARE40101,821153,CBX,CBX,Cf-252,CHECK,,,,Base Cement,,,,,,NO,YES,,2010/Q1,Mach 2010,,,,,,,,
#REF!,11,PSA,SL-PSA,SPECTRA,South Africa,ZAF,Afrisam,Afrisam-South Africa,1,ZAF1,Afrisam-South Africa,01,ZAF101,Dudfield,01,ZAF10101,,CBA-GN,CBA-GN,Cf-252,SP,,,,,,,,,,,,,,,,,,1.3.2023,28.2.2026,3,2,
#REF!,11,PSA,SL-PSA,SPECTRA,South Africa,ZAF,Afrisam,Afrisam-South Africa,1,ZAF1,Afrisam-South Africa,02,ZAF102,Ulco,01,ZAF10201,,CBX,CBX,Cf-252,CHECK,,,,,,,,,,,,,,,,,,1.3.2023,28.2.2026,3,2,






















,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,



































































FIRST NAME,MIDDLE NAME,LAST NAME 


































































































