
SN,STATUS,ACCOUNT,Country,GROUP,PARENT COMPANY NAME,PARENT COMPNAY CODE,Plant Name,PLANT CODE,Site Name,X,SITE CODE,System SN,Model,
89,SL-PSA-EXP,SPECTRA,Oman,OCC,Oman Cement Company,#REF!,Oman Cement Company,#REF!,OCC-2,02,#REF!,822198,OMNI,
90,NOT INSTALLED,SPECTRA,Oman,RAYSUT,Raysut Cement Company,#REF!,Raysut Cement Company,#REF!,Raysut,01,#REF!,822132,OMNI,
91,NOT WORKING,THERMO,Pakistan,,"FLSA Khairpur, PCCL",#REF!,"FLSA Khairpur, PCCL",#REF!,Khairpur,01,#REF!,825052,EBA,
92,NOT WORKING,THERMO,Pakistan,,"Pakcem-Chakwal, PCCL",#REF!,"Pakcem-Chakwal, PCCL",#REF!,Chakwal,01,#REF!,825053,EBA,
93,NOT WORKING,THERMO,Pakistan,Lucky,Dewan Cement  Company,#REF!,Dewan Cement  Company,#REF!,Dewan,01,#REF!,821052,CBX,
94,T&M,THERMO,Pakistan,DG KHAN,DG KHAN CEMENT,#REF!,DG KHAN CEMENT,#REF!,DGK,01,#REF!,823187,OMNI,
95,SL/TF-PSA,THERMO,Pakistan,Fauji foundation,FAUJI CEMENT CO.,#REF!,FAUJI CEMENT-Fateh Jhang,#REF!,FAUJI-1,01,#REF!,823110,OMNI,
96,I&C,THERMO,Pakistan,Fauji foundation,FAUJI CEMENT CO.,#REF!,FAUJI CEMENT-DG Khan,#REF!,FAUJI-2,01,#REF!,,OMNI,
97,TF-PSA,THERMO,Pakistan,Fauji foundation,Fauji Cement -Nizampur (Askari Cement),#REF!,Fauji Cement -Nizampur (Askari Cement),#REF!,Askari-1,01,#REF!,823129,OMNI,
98,TF-PSA,THERMO,Pakistan,Fauji foundation,Fauji Cement -Nizampur (Askari Cement),#REF!,Fauji Cement -Nizampur (Askari Cement),#REF!,Askari-2,02,#REF!,823130,OMNI,
99,WARRANTY,THERMO,Pakistan,Fauji foundation,Fauji Cement -Nizampur (Askari Cement),#REF!,Fauji Cement -Nizampur (Askari Cement),#REF!,Askari-3,03,#REF!,881086,OMNI,
100,T&M,THERMO,Pakistan,Pinoneer-PK,Pioneer Cement-Pakistan,#REF!,Pioneer Cement-Pakistan,#REF!,Pioneer-Pak,01,#REF!,823187,OMNI,
101,TF-PSA-EXP,THERMO,Qatar,QNCC,Qatar National Cement,#REF!,Qatar National Cement,#REF!,QNCC1,01,#REF!,821046,CBX,
102,TF-PSA-EXP,THERMO,Qatar,QNCC,Qatar National Cement,#REF!,Qatar National Cement,#REF!,QNCC2,02,#REF!,821127,CBX,
103,TF-PSA-EXP,THERMO,Qatar,QNCC,Qatar National Cement,#REF!,Qatar National Cement,#REF!,QNCC3,03,#REF!,,OMNI-N,
104,TF-PSA,THERMO,Qatar,Al Khalij,Al Khalij cement-GCC-Doha,#REF!,Al Khalij cement-GCC-Doha,#REF!,GCC-1,01,#REF!,821150,CBX,
105,T&M,THERMO,Qatar,Al Khalij,Al Khalij cement-GCC-Doha,#REF!,Al Khalij cement-GCC-Doha,#REF!,GCC-2,02,#REF!,821151,CBX,
106,T&M,THERMO,Qatar,Al Khalij,Al Khalij cement-GCC-Doha,#REF!,Al Khalij cement-GCC-Doha,#REF!,GCC-3,03,#REF!,,OMNI,
107,TF-PSA-EXP,THERMO,Saudi,SAFA,Lafarge-SAFWA Cement Company,#REF!,Lafarge-SAFWA Cement Company,#REF!,safwa,01,#REF!,821149,CBX,
108,Decom,THERMO,Saudi,SCC,Saudi Cement-Company-Hofuf,#REF!,Saudi Cement-Company-Hofuf,#REF!,Hofuf 1,1,#REF!,820003,CBA,
109,Decom,THERMO,Saudi,SCC,Saudi Cement-Company-Hofuf,#REF!,Saudi Cement-Company-Hofuf,#REF!,Hofuf 2,2,#REF!,820004,CBA-GN,
110,T&M,THERMO,Saudi,SCC,Saudi Cement-Company-Hofuf,#REF!,Saudi Cement-Company-Hofuf,#REF!,Hofuf-3,3,#REF!,821103,CBX,
111,T&M,THERMO,Saudi,SCC,Saudi Cement-Company-Hofuf,#REF!,Saudi Cement-Company-Hofuf,#REF!,Hofuf-4,4,#REF!,821104,OMNI-R,
112,T&M,THERMO,Saudi,SCC,Saudi Cement-Company-Hofuf,#REF!,Saudi Cement-Company-Hofuf,#REF!,Hofuf-5,5,#REF!,821105,OMNI-R,
113,NOT WORKING,THERMO,Saudi,RCC,Riyadh Cement Company,#REF!,Riyadh Cement Company,#REF!,RCC-1,1,#REF!,821067,CBX,
114,NOT INSTALLED,THERMO,Saudi,RCC,Riyadh Cement Company,#REF!,Riyadh Cement Company,#REF!,RCC-2,2,#REF!,821154,CBX,
115,T&M,THERMO,Saudi,CCC,City Cement Company,#REF!,City Cement Company,#REF!,CCC,1,#REF!,821069,OMNI-R,
116,T&M,THERMO,Saudi,CCC,City Cement Company,#REF!,City Cement Company,#REF!,CCC-2,2,#REF!,,OMNI,
117,Decom,THERMO,Saudi,NCC,Najran Cement Co. (NCC),#REF!,Najran Cement Co. (NCC),#REF!,NCC-1,1,#REF!,821071,CBX,
118,Decom,THERMO,Saudi,NCC,Najran Cement Co. (NCC),#REF!,Najran Cement Co. (NCC),#REF!,NCC-2,2,#REF!,821091,CBX,
119,SL-PSA,SPECTRA,Saudi,NRCC,Norther Region Cement (NRCC),#REF!,Norther Region Cement (NRCC),#REF!,NRCC-1,01,#REF!,821100,CBX,
120,SL-PSA,SPECTRA,Saudi,NRCC,Norther Region Cement (NRCC),#REF!,Norther Region Cement (NRCC),#REF!,NRCC-2,02,#REF!,822321,OMNI,
121,T&M,SPECTRA,Saudi,TABUK,Tabuk Cement Company,#REF!,Tabuk Cement Company,#REF!,Tabuk-1,1,#REF!,820023,CBA-GN,
122,T&M,SPECTRA,Saudi,TABUK,Tabuk Cement Company,#REF!,Tabuk Cement Company,#REF!,TABUK-2,2,#REF!,,OMNI,
123,SL-I&C,SPECTRA,Saudi,SPCC,Southern Province Cement Co,#REF!,Southern Province Cement Co,#REF!,Bisha-1,1,#REF!,820099,OMNI-R,
124,I&C,THERMO,Saudi,SPCC,Southern Province Cement Co,#REF!,Southern Province Cement Co,#REF!,Bisha-2,2,#REF!,,OMNI,
125,SL-WARR,SPECTRA,Saudi,SPCC,Southern Province Cement Co,#REF!,Southern Province Cement Co,#REF!,Jazan,01,#REF!,820098,OMNI-R,
126,T&M,THERMO,Saudi,SPCC,Southern Province Cement Co,#REF!,Southern Province Cement Co,#REF!,Tahama-1,1,#REF!,821047,CBX,
127,T&M,THERMO,Saudi,SPCC,Southern Province Cement Co,#REF!,Southern Province Cement Co,#REF!,Tahama-2,2,#REF!,,OMNI,
128,T&M,THERMO,Saudi,QCC,Qassim Cement Company,#REF!,Qassim Cement Company,#REF!,Qassim,1,#REF!,820078,CBGN,
129,SL-PSA,SPECTRA,Saudi,EPCC,Eastern Province Cement Co,#REF!,Eastern Province Cement Co,#REF!,EPCC-1,01,#REF!,820089,OMNI-R,
130,SL-PSA,SPECTRA,Saudi,EPCC,Eastern Province Cement Co,#REF!,Eastern Province Cement Co,#REF!,EPCC-2,02,#REF!,822249,OMNI,
131,SL-I&C,SPECTRA,Saudi,EPCC,Eastern Province Cement Co,#REF!,Eastern Province Cement Co,#REF!,EPCC-3,03,#REF!,TO BE ADVISED,OMNI,
132,Decom,THERMO,Saudi,ACC,Arabian Cement Company,#REF!,Arabian Cement Company,#REF!,Rabigh,1,#REF!,820005,CBA,
133,NOT INSTALLED,THERMO,Saudi,AL Jouf,Al-Jauf Cement Company,#REF!,Al-Jauf Cement Company,#REF!,Al-Jauf-1,1,#REF!,822154,OMNI,
134,NOT INSTALLED,THERMO,Saudi,AL Jouf,Al-Jauf Cement Company,#REF!,Al-Jauf Cement Company,#REF!,Al-Jauf-2,2,#REF!,822155,OMNI,
135,NOT INSTALLED,THERMO,Saudi,AL Jouf,Al-Jauf Cement Company,#REF!,Al-Jauf Cement Company,#REF!,Al-Jauf-3,3,#REF!, ,OMNI,
136,T&M,THERMO,Saudi ,UCIC,United Cement Industrial Company (UCIC),#REF!,United Cement Industrial Company (UCIC),#REF!,UCIC-1,1,#REF!,,OMNI,
137,T&M,THERMO,Saudi ,UCIC,United Cement Industrial Company (UCIC),#REF!,United Cement Industrial Company (UCIC),#REF!,UCIC-2,2,#REF!,,OMNI,
138,TF-PSA,THERMO,Saudi ,UACC,UMM AL-QURA Cement Company (UACC),#REF!,UMM AL-QURA Cement Company (UACC),#REF!,UACC1,1,#REF!,981192,OMNI,
139,TF-PSA,THERMO,Saudi ,UACC,UMM AL-QURA Cement Company (UACC),#REF!,UMM AL-QURA Cement Company (UACC),#REF!,UACC1,2,#REF!,,OMNI,
140,T&M,THERMO,Saudi ,YAMAMA,Yamama Cement Co.,#REF!,Yamama Cement Co.,#REF!,Yamma-1,1,#REF!,,OMNI-N,
141,T&M,THERMO,Saudi ,YAMAMA,Yamama Cement Co.,#REF!,Yamama Cement Co.,#REF!,Yamma-2,2,#REF!,,OMNI-N,
142,NOT KNOWN,THERMO,Saudi ,NCC,National Cement Company,#REF!,National Cement Company,#REF!,NCC-1,1,#REF!,,OMNI,
143,NOT KNOWN,THERMO,Saudi ,NCC,National Cement Company,#REF!,National Cement Company,#REF!,NCC-2,2,#REF!,,OMNI,
144,NOT KNOWN,THERMO,Saudi,NCC,National Cement Company,#REF!,National Cement Company,#REF!,NCC-3,3,#REF!,,OMNI,
145,Decom,THERMO,Senegal,VICAT,Sococim Cement Company,#REF!,Sococim Cement Company,#REF!,Sococim 1,1,#REF!,800064,BMA,
146,Decom,THERMO,Senegal,VICAT,Sococim Cement Company,#REF!,Sococim Cement Company,#REF!,Sococim-2,2,#REF!,820083,CBGN,
147,Decom,THERMO,Senegal,SAHEL,"Ciments du Sahel, Senegal",#REF!,"Ciments du Sahel, Senegal",#REF!,Sehal,1,#REF!,826021,FSA,
148,SL-PSA,SPECTRA,Senegal,Dangote,DANGOTE CEMENT-SENEGAL,#REF!,DANGOTE CEMENT-SENEGAL,#REF!,DCP-SENEGAL,01,#REF!,82285,OMNI,
149,NO GO ,NO GO ,Sudan,ATBARA,Atbara Cement Company,#REF!,Atbara Cement Company,#REF!,Atbara,1,#REF!,822171,OMNI,
150,NO GO ,NO GO ,Sudan,BERBER,Berber Cement Company,#REF!,Berber Cement Company,#REF!,Berber,1,#REF!,822170,OMNI,
